,betweenness_centrality,vertex
1292,0.0,56765
1293,0.0,56771
1294,0.0,56779
1295,0.0,56783
1296,0.0,56785
1297,0.0,56802
1298,0.0,56806
1299,0.0,56820
1300,0.0,56830
1301,0.0,56834
1302,0.0,56835
1303,0.0,56841
1304,0.0,56842
1305,0.0,56843
1306,0.0,56853
1307,0.0,56861
1308,0.0,56866
1309,0.0,56880
1310,0.0,56885
1311,0.0,56886
1312,0.0,15549
1313,0.0,15550
1314,0.0,15560
1315,0.0,15562
1316,0.0,15564
1317,0.0,15566
1318,0.0,15570
1319,0.0,15571
1320,0.0,15575
1321,0.0,15578
1322,0.0,15585
1323,0.0,15586
1324,0.0,15589
1325,0.0,15596
1326,0.0,15597
1327,0.0,15602
1328,0.0,15604
1329,0.0,15606
1330,0.0,15608
1331,0.0,15610
1332,0.0,15614
1333,0.0,15618
1334,0.0,15622
1335,0.0,15633
1336,0.0,15634
1337,0.0,15637
1338,0.0,15643
1339,0.0,15646
1340,0.0,15650
1341,0.0,15654
1342,0.0,15666
1343,0.0,15667
1344,0.0,23609
1345,0.0,23610
1346,0.0,23611
1347,0.0,23614
1348,0.0,23618
1349,0.0,23619
1350,0.0,23620
1351,0.0,23622
1352,0.0,23623
1353,0.0,23625
1354,0.0,23626
1355,0.0,23628
1356,0.0,23631
1357,0.0,23634
1358,0.0,23636
1359,0.0,23638
1360,0.0,23640
1361,0.0,23641
1362,0.0,23643
1363,0.0,23645
1364,0.0,23654
1365,0.0,23655
1366,0.0,23659
1367,0.0,23660
1368,0.0,23662
1369,0.0,23663
1370,0.0,23668
1371,0.0,23669
1372,0.0,23671
1373,0.0,23672
1374,0.0,23675
1375,0.0,23676
1376,0.0,28486
1377,0.0,28505
1378,0.0,28571
1379,0.0,28586
1380,0.0,28628
1381,0.0,28656
1382,0.0,28690
1383,0.0,28692
1384,0.0,28723
1385,0.0,28746
1386,0.0,28748
1387,0.0,28756
1388,0.0,28758
1389,0.0,28780
1390,0.0,28784
1391,0.0,28815
1392,0.0,28820
1393,0.0,28872
1394,0.0,28891
1395,0.0,28912
1396,0.0,28929
1397,0.0,28935
1398,0.0,28946
1399,0.0,28967
1400,0.0,28975
1401,0.0,28976
1402,0.0,28986
1403,0.0,29000
1404,0.0,29023
1405,0.0,29110
1406,0.0,29129
1407,0.0,29144
1408,0.0,27179
1409,0.0,27180
1410,0.0,27184
1411,0.0,27185
